killing-them-softly,46%(M) -- 49%(I)
frank-2014,79%(M) -- 75%(I)
the-ascent,64%(M) -- 69%(I)
the-innocents-2016,57%(M) -- 48%(I)
the-lovers-on-the-bridge,76%(M) -- 91%(I)
polytechnique,61%(M) -- 68%(I)
the-wrestler,83%(M) -- 80%(I)
the-fountain,71%(M) -- 64%(I)
the-diving-bell-and-the-butterfly,63%(M) -- 80%(I)
mean-girls,53%(M) -- 37%(I)
my-night-at-mauds,77%(M) -- 83%(I)
band-of-outsiders,77%(M) -- 85%(I)
the-400-blows,95%(M) -- 96%(I)
cleo-from-5-to-7,89%(M) -- 90%(I)
linda-linda-linda,68%(M) -- 66%(I)
the-discreet-charm-of-the-bourgeoisie,84%(M) -- 85%(I)
the-silence-of-the-lambs,88%(M) -- 86%(I)
mystery-train,74%(M) -- 76%(I)
aguirre-the-wrath-of-god,72%(M) -- 80%(I)
happy-end-2017,48%(M) -- 67%(I)
lady-snowblood-2-love-song-of-vengeance,52%(M) -- 54%(I)
lady-snowblood,62%(M) -- 64%(I)
the-fall-2019,56%(M) -- 73%(I)
birth-2004,66%(M) -- 77%(I)
alice-in-the-cities,70%(M) -- 82%(I)
terrorizers,70%(M) -- 69%(I)
dead-man,84%(M) -- 77%(I)
la-cienaga,63%(M) -- 71%(I)
devilman-crybaby,54%(M) -- 44%(I)
bennys-video,63%(M) -- 79%(I)
nimic,61%(M) -- 80%(I)
full-metal-jacket,86%(M) -- 85%(I)
autumn-sonata,78%(M) -- 77%(I)
gangs-of-new-york-2002,63%(M) -- 46%(I)
force-majeure-2014,79%(M) -- 82%(I)
in-the-name-of-the-father-1993,69%(M) -- 55%(I)
la-confidential,75%(M) -- 65%(I)
manhattan,85%(M) -- 84%(I)
midnight-in-paris,62%(M) -- 60%(I)
the-avengers-2012,37%(M) -- 25%(I)
koyaanisqatsi,77%(M) -- 90%(I)
the-life-aquatic-with-steve-zissou,78%(M) -- 74%(I)
frances-ha,82%(M) -- 83%(I)
the-housemaid,58%(M) -- 63%(I)
the-theory-of-everything-2014,65%(M) -- 48%(I)
barking-dogs-never-bite,56%(M) -- 57%(I)
secret-sunshine,82%(M) -- 70%(I)
american-animals,54%(M) -- 48%(I)
under-the-silver-lake,48%(M) -- 66%(I)
raging-bull,82%(M) -- 87%(I)
the-good-the-bad-and-the-ugly,86%(M) -- 77%(I)
vampyr,76%(M) -- 83%(I)
beau-travail,72%(M) -- 79%(I)
sunrise-a-song-of-two-humans,79%(M) -- 73%(I)
happy-together-1997,61%(M) -- 75%(I)
metropolis,89%(M) -- 82%(I)
amour,87%(M) -- 90%(I)
pandoras-box,65%(M) -- 65%(I)
one-hundred-children-waiting-for-a-train,59%(M) -- 53%(I)
the-club-2015,53%(M) -- 59%(I)
ema,65%(M) -- 83%(I)
disobedience-2017,55%(M) -- 45%(I)
rara,60%(M) -- 56%(I)
star-wars-the-rise-of-skywalker,35%(M) -- 22%(I)
star-wars-the-last-jedi,64%(M) -- 39%(I)
star-wars-the-force-awakens,64%(M) -- 46%(I)
star-wars-episode-iii-revenge-of-the-sith,53%(M) -- 41%(I)
star-wars-episode-ii-attack-of-the-clones,26%(M) -- 31%(I)
star-wars-episode-i-the-phantom-menace,38%(M) -- 32%(I)
return-of-the-jedi,73%(M) -- 53%(I)
the-empire-strikes-back,81%(M) -- 72%(I)
star-wars,84%(M) -- 72%(I)
life-is-beautiful,71%(M) -- 78%(I)
moneyball,68%(M) -- 70%(I)
world-war-z,20%(M) -- 30%(I)
twelve-monkeys,68%(M) -- 67%(I)
a-separation,89%(M) -- 88%(I)
the-white-ribbon,84%(M) -- 88%(I)
geralds-game,36%(M) -- 42%(I)
the-cabin-in-the-woods,44%(M) -- 72%(I)
get-out-2017,93%(M) -- 84%(I)
it-follows,72%(M) -- 68%(I)
the-girl-with-the-dragon-tattoo-2011,71%(M) -- 68%(I)
se7en,92%(M) -- 85%(I)
neon-genesis-evangelion,54%(M) -- 58%(I)
over-the-garden-wall-2014,59%(M) -- 60%(I)
klaus,57%(M) -- 47%(I)
toy-story-2,87%(M) -- 69%(I)
toy-story-3,85%(M) -- 74%(I)
monsters-inc,76%(M) -- 62%(I)
up,96%(M) -- 86%(I)
fantastic-mr-fox,90%(M) -- 48%(I)
the-iron-giant,82%(M) -- 65%(I)
akira,74%(M) -- 72%(I)
toy-story,91%(M) -- 70%(I)
princess-mononoke,91%(M) -- 84%(I)
mother-2009,71%(M) -- 84%(I)
sympathy-for-lady-vengeance,73%(M) -- 78%(I)
sympathy-for-mr-vengeance,78%(M) -- 79%(I)
mystic-river,76%(M) -- 76%(I)
cache,82%(M) -- 85%(I)
the-truman-show,87%(M) -- 85%(I)
shame,71%(M) -- 72%(I)
the-seventh-seal,90%(M) -- 82%(I)
vertigo,89%(M) -- 86%(I)
super-8,39%(M) -- 37%(I)
airplane,53%(M) -- 58%(I)
the-pursuit-of-happyness,45%(M) -- 34%(I)
the-skin-i-live-in,81%(M) -- 82%(I)
one-flew-over-the-cuckoos-nest,84%(M) -- 83%(I)
the-shawshank-redemption,74%(M) -- 79%(I)
psycho,92%(M) -- 93%(I)
monty-python-and-the-holy-grail,79%(M) -- 78%(I)
the-meaning-of-life-1983,59%(M) -- 70%(I)
district-9,71%(M) -- 65%(I)
wings-of-desire,89%(M) -- 84%(I)
the-piano-teacher,78%(M) -- 83%(I)
code-unknown,62%(M) -- 84%(I)
the-lion-king,95%(M) -- 73%(I)
ex-machina-2015,88%(M) -- 93%(I)
woman-in-the-dunes,76%(M) -- 81%(I)
antiporno,66%(M) -- 63%(I)
rear-window,85%(M) -- 93%(I)
the-incredibles,90%(M) -- 86%(I)
fargo,93%(M) -- 85%(I)
whiplash-2014,94%(M) -- 89%(I)
love-pop,59%(M) -- 57%(I)
house,76%(M) -- 82%(I)
serial-experiments-lain-1998,61%(M) -- 56%(I)
schindlers-list,90%(M) -- 79%(I)
evangelion-30-you-can-not-redo,46%(M) -- 40%(I)
evangelion-20-you-can-not-advance,51%(M) -- 57%(I)
evangelion-10-you-are-not-alone,57%(M) -- 58%(I)
twin-peaks-the-return,60%(M) -- 76%(I)
jackie-brown,75%(M) -- 71%(I)
the-hateful-eight,83%(M) -- 74%(I)
django-unchained,90%(M) -- 87%(I)
pulp-fiction,93%(M) -- 88%(I)
reservoir-dogs,93%(M) -- 88%(I)
the-witch-2015,87%(M) -- 92%(I)
ghost-in-the-shell,74%(M) -- 62%(I)
city-of-life-and-death,62%(M) -- 52%(I)
the-last-samurai,52%(M) -- 40%(I)
goodfellas,90%(M) -- 80%(I)
collateral,64%(M) -- 71%(I)
kill-bill-vol-2,93%(M) -- 78%(I)
kill-bill-vol-1,95%(M) -- 93%(I)
fight-club,80%(M) -- 84%(I)
the-big-lebowski,88%(M) -- 88%(I)
scarface-1983,63%(M) -- 59%(I)
ivans-childhood,70%(M) -- 85%(I)
twin-peaks-the-missing-pieces,61%(M) -- 62%(I)
twin-peaks-fire-walk-with-me,66%(M) -- 74%(I)
funny-games,69%(M) -- 76%(I)
children-of-men,79%(M) -- 74%(I)
mad-max-fury-road,88%(M) -- 80%(I)
boyhood,81%(M) -- 77%(I)
the-social-network,82%(M) -- 85%(I)
walle,87%(M) -- 78%(I)
the-dark-knight,86%(M) -- 77%(I)
inside-out-2015,94%(M) -- 82%(I)
12-years-a-slave,89%(M) -- 83%(I)
zero-dark-thirty,63%(M) -- 49%(I)
ida,81%(M) -- 92%(I)
inglourious-basterds,88%(M) -- 76%(I)
carol-2015,76%(M) -- 81%(I)
the-royal-tenenbaums,73%(M) -- 82%(I)
a-serious-man,70%(M) -- 67%(I)
amelie,88%(M) -- 86%(I)
moonrise-kingdom,78%(M) -- 81%(I)
the-assassination-of-jesse-james-by-the-coward-robert-ford,68%(M) -- 74%(I)
ratatouille,84%(M) -- 80%(I)
finding-nemo,90%(M) -- 72%(I)
oldboy,86%(M) -- 87%(I)
blue-velvet,92%(M) -- 82%(I)
rashomon,85%(M) -- 85%(I)
adaptation,78%(M) -- 81%(I)
paris-texas,82%(M) -- 93%(I)
mirror,81%(M) -- 92%(I)
only-lovers-left-alive,82%(M) -- 89%(I)
john-wick,60%(M) -- 42%(I)
scott-pilgrim-vs-the-world,76%(M) -- 85%(I)
